team1,team2,city,date,toss_winner,first_batting,team1_player1_bat_rank,team1_player1_bowl_rank,team1_player2_bat_rank,team1_player2_bowl_rank,team1_player3_bat_rank,team1_player3_bowl_rank,team1_player4_bat_rank,team1_player4_bowl_rank,team1_player5_bat_rank,team1_player5_bowl_rank,team1_player6_bat_rank,team1_player6_bowl_rank,team1_player7_bat_rank,team1_player7_bowl_rank,team1_player8_bat_rank,team1_player8_bowl_rank,team1_player9_bat_rank,team1_player9_bowl_rank,team1_player10_bat_rank,team1_player10_bowl_rank,team1_player11_bat_rank,team1_player11_bowl_rank,team2_player1_bat_rank,team2_player1_bowl_rank,team2_player2_bat_rank,team2_player2_bowl_rank,team2_player3_bat_rank,team2_player3_bowl_rank,team2_player4_bat_rank,team2_player4_bowl_rank,team2_player5_bat_rank,team2_player5_bowl_rank,team2_player6_bat_rank,team2_player6_bowl_rank,team2_player7_bat_rank,team2_player7_bowl_rank,team2_player8_bat_rank,team2_player8_bowl_rank,team2_player9_bat_rank,team2_player9_bowl_rank,team2_player10_bat_rank,team2_player10_bowl_rank,team2_player11_bat_rank,team2_player11_bowl_rank,match_winner
Australia,New Zealand,Hobart,18 December 1990,1,1,9,66,32,101,10,101,38,80,101,77,80,101,85,101,101,53,101,42,101,1,101,19,7,101,18,101,20,35,73,85,54,101,1,100,34,11,15,51,78,34,101,4,101,25,1
Pakistan,Sri Lanka,Sharjah Cricket Association Stadium,20 December 1990,1,0,30,90,101,101,15,84,101,101,18,15,36,101,46,4,101,101,92,34,94,5,101,101,101,101,101,101,25,73,11,55,16,44,39,101,101,101,68,18,101,35,101,42,101,85,1
Pakistan,Sri Lanka,Sharjah Cricket Association Stadium,21 December 1990,1,0,32,90,101,101,15,85,101,101,18,15,34,101,47,3,101,101,101,58,90,27,89,4,101,101,101,101,11,55,16,44,29,74,101,101,101,101,72,22,101,33,101,38,101,64,0
India,Bangladesh,Chandigarh,25 December 1990,1,1,101,95,101,101,101,101,101,101,101,96,101,101,101,101,87,101,101,81,101,101,101,101,83,101,14,101,54,101,13,79,51,101,101,101,68,13,81,101,101,100,101,101,101,65,0
India,Sri Lanka,Cuttack,28 December 1990,1,1,101,101,101,101,23,75,12,55,16,44,40,101,101,101,72,19,101,36,101,1,101,64,14,101,37,29,51,101,13,79,57,101,101,101,70,13,77,101,101,87,101,59,101,97,1
Bangladesh,Sri Lanka,Calcutta,31 December 1990,1,1,101,101,101,101,23,74,11,55,16,44,101,33,40,101,101,101,101,36,100,47,101,101,101,101,101,88,101,101,101,101,101,97,93,101,101,101,101,101,101,101,101,77,101,101,1
Bangladesh,Sri Lanka,Calcutta,31 December 1990,1,1,101,101,101,101,23,74,11,55,16,44,101,33,40,101,101,101,101,36,100,47,101,101,101,101,101,88,101,101,101,101,101,97,93,101,101,101,101,101,101,101,101,77,101,101,1
India,Sri Lanka,Cuttack,28 December 1990,1,1,101,101,101,101,23,75,12,55,16,44,40,101,101,101,72,19,101,36,101,1,101,64,14,101,37,29,51,101,13,79,57,101,101,101,70,13,77,101,101,87,101,59,101,97,1
India,Bangladesh,Chandigarh,25 December 1990,1,1,101,95,101,101,101,101,101,101,101,96,101,101,101,101,87,101,101,81,101,101,101,101,83,101,14,101,54,101,13,79,51,101,101,101,68,13,81,101,101,100,101,101,101,65,0
Australia,England,Sydney Cricket Ground,1 January 1991,1,0,7,101,19,101,1,101,16,45,55,88,20,35,29,11,54,101,58,13,101,9,101,5,3,57,45,101,101,101,47,101,34,101,78,101,50,17,96,15,99,28,101,23,101,62,0
India,Sri Lanka,Calcutta,4 January 1991,1,1,100,101,101,101,23,75,12,55,14,44,40,101,101,93,73,21,101,30,101,36,101,67,37,32,15,101,46,101,51,101,11,81,101,101,71,13,77,101,101,87,101,59,101,73,0
